"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name"
"clupea harengus","Atlantic herring",27,"Belgium","BEL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Denmark","DNK","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Estonia","EST","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Faroe Islands","FRO","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Finland","FIN","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"France","FRA","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Germany","DEU","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Greenland","GRL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Iceland","ISL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Ireland","IRL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Isle of Man","IMN","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Latvia","LVA","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Lithuania","LTU","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Netherlands","NLD","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Norway","NOR","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Poland","POL","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Russian Federation","RUS","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Spain","ESP","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"clupea harengus","Atlantic herring",27,"Sweden","SWE","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
